Data e Hora de Início: 2025-03-09 22:10:06.674742

=== Processos em Execução ===
PID: 908, Nome: irqbalance, Usuário: root
PID: 911, Nome: networkd-dispat, Usuário: root
PID: 916, Nome: polkitd, Usuário: root
PID: 917, Nome: power-profiles-daemon, Usuário: root
PID: 918, Nome: rsyslogd, Usuário: syslog
PID: 924, Nome: snapd, Usuário: root
PID: 925, Nome: switcheroo-control, Usuário: root
PID: 930, Nome: systemd-logind, Usuário: root
PID: 932, Nome: thermald, Usuário: root
PID: 934, Nome: udisksd, Usuário: root
PID: 935, Nome: wpa_supplicant, Usuário: root
PID: 942, Nome: avahi-daemon, Usuário: avahi
PID: 972, Nome: kworker/R-ipmi-, Usuário: root
PID: 998, Nome: ModemManager, Usuário: root
PID: 1027, Nome: cupsd, Usuário: root
PID: 1033, Nome: unattended-upgr, Usuário: root
PID: 1047, Nome: containerd, Usuário: root
PID: 1057, Nome: systemd, Usuário: allysson
PID: 1063, Nome: (sd-pam), Usuário: allysson
PID: 1094, Nome: rootlesskit, Usuário: allysson
PID: 1095, Nome: pipewire, Usuário: allysson
PID: 1096, Nome: pipewire-media-session, Usuário: allysson
PID: 1097, Nome: pulseaudio, Usuário: allysson
PID: 1118, Nome: rtkit-daemon, Usuário: rtkit
PID: 1125, Nome: exe, Usuário: allysson
PID: 1158, Nome: slirp4netns, Usuário: allysson
PID: 1167, Nome: dockerd, Usuário: allysson
PID: 1178, Nome: dbus-daemon, Usuário: allysson
PID: 1202, Nome: containerd, Usuário: allysson
PID: 1211, Nome: xdg-document-portal, Usuário: allysson
PID: 1216, Nome: xdg-permission-store, Usuário: allysson
PID: 1223, Nome: fusermount3, Usuário: allysson
PID: 1411, Nome: krfcommd, Usuário: root
PID: 1445, Nome: gdm3, Usuário: root
PID: 1453, Nome: UVM global queue, Usuário: root
PID: 1454, Nome: UVM deferred release queue, Usuário: root
PID: 1455, Nome: UVM Tools Event Queue, Usuário: root
PID: 1459, Nome: nvidia-persistenced, Usuário: nvidia-persistenced
PID: 1460, Nome: gdm-session-worker, Usuário: root
PID: 1466, Nome: gnome-keyring-daemon, Usuário: allysson
PID: 1504, Nome: gdm-x-session, Usuário: allysson
PID: 1508, Nome: Xorg, Usuário: allysson
PID: 1748, Nome: rootlesskit-docker-proxy, Usuário: allysson
PID: 1755, Nome: docker-proxy, Usuário: allysson
PID: 1762, Nome: rootlesskit-docker-proxy, Usuário: allysson
PID: 1770, Nome: rootlesskit-docker-proxy, Usuário: allysson
PID: 1774, Nome: docker-proxy, Usuário: allysson
PID: 1787, Nome: rootlesskit-docker-proxy, Usuário: allysson
PID: 1791, Nome: docker-proxy, Usuário: allysson
PID: 1810, Nome: docker-proxy, Usuário: allysson
PID: 1853, Nome: containerd-shim-runc-v2, Usuário: allysson
PID: 1854, Nome: containerd-shim-runc-v2, Usuário: allysson
PID: 1889, Nome: containerd-shim-runc-v2, Usuário: allysson
PID: 1890, Nome: containerd-shim-runc-v2, Usuário: allysson
PID: 1965, Nome: docker-init, Usuário: allysson
PID: 1966, Nome: postgres, Usuário: 100998
PID: 1979, Nome: nginx, Usuário: allysson
PID: 1980, Nome: redis-server, Usuário: 100998
PID: 2096, Nome: bash, Usuário: allysson
PID: 2135, Nome: gunicorn, Usuário: allysson
PID: 2156, Nome: nginx, Usuário: 100032
PID: 2157, Nome: nginx, Usuário: 100032
PID: 2158, Nome: nginx, Usuário: 100032
PID: 2159, Nome: nginx, Usuário: 100032
PID: 2178, Nome: postgres, Usuário: 100998
PID: 2179, Nome: postgres, Usuário: 100998
PID: 2188, Nome: postgres, Usuário: 100998
PID: 2189, Nome: postgres, Usuário: 100998
PID: 2190, Nome: postgres, Usuário: 100998
PID: 2266, Nome: gunicorn, Usuário: 100032
PID: 2279, Nome: gunicorn, Usuário: 100032
PID: 2298, Nome: gunicorn, Usuário: 100032
PID: 2304, Nome: gunicorn, Usuário: 100032
PID: 2307, Nome: gunicorn, Usuário: 100032
PID: 2308, Nome: gunicorn, Usuário: 100032
PID: 2309, Nome: gunicorn, Usuário: 100032
PID: 2318, Nome: gunicorn, Usuário: 100032
PID: 2381, Nome: snapd-desktop-integration, Usuário: allysson
PID: 2458, Nome: cups-browsed, Usuário: root
PID: 2459, Nome: snapd-desktop-integration, Usuário: allysson
PID: 2463, Nome: kerneloops, Usuário: kernoops
PID: 2465, Nome: kerneloops, Usuário: kernoops
PID: 2473, Nome: gnome-session-binary, Usuário: allysson
PID: 2563, Nome: at-spi-bus-launcher, Usuário: allysson
PID: 2569, Nome: dbus-daemon, Usuário: allysson
PID: 2576, Nome: xdg-desktop-portal, Usuário: allysson
PID: 2584, Nome: xdg-desktop-portal-gnome, Usuário: allysson
PID: 2593, Nome: gnome-session-ctl, Usuário: allysson
PID: 2608, Nome: gvfsd, Usuário: allysson
PID: 2619, Nome: gvfsd-fuse, Usuário: allysson
PID: 2626, Nome: gnome-session-binary, Usuário: allysson
PID: 2656, Nome: gnome-shell, Usuário: allysson
PID: 2665, Nome: xdg-desktop-portal-gtk, Usuário: allysson
PID: 2670, Nome: at-spi2-registryd, Usuário: allysson
PID: 2728, Nome: gnome-shell-calendar-server, Usuário: allysson
PID: 2734, Nome: evolution-source-registry, Usuário: allysson
PID: 2741, Nome: upowerd, Usuário: root
PID: 2744, Nome: goa-daemon, Usuário: allysson
PID: 2752, Nome: evolution-calendar-factory, Usuário: allysson
PID: 2755, Nome: gvfs-udisks2-volume-monitor, Usuário: allysson
PID: 2764, Nome: goa-identity-service, Usuário: allysson
PID: 2775, Nome: gvfs-afc-volume-monitor, Usuário: allysson
PID: 2785, Nome: dconf-service, Usuário: allysson
PID: 2786, Nome: evolution-addressbook-factory, Usuário: allysson
PID: 2791, Nome: gvfs-mtp-volume-monitor, Usuário: allysson
PID: 2797, Nome: gvfs-goa-volume-monitor, Usuário: allysson
PID: 2804, Nome: gvfs-gphoto2-volume-monitor, Usuário: allysson
PID: 2813, Nome: packagekitd, Usuário: root
PID: 2820, Nome: gvfsd-trash, Usuário: allysson
PID: 2832, Nome: gjs, Usuário: allysson
PID: 2842, Nome: jbd2/sdc3-8, Usuário: root
PID: 2843, Nome: kworker/R-ext4-, Usuário: root
PID: 2845, Nome: sh, Usuário: allysson
PID: 2846, Nome: gsd-a11y-settings, Usuário: allysson
PID: 2848, Nome: gsd-color, Usuário: allysson
PID: 2851, Nome: gsd-datetime, Usuário: allysson
PID: 2852, Nome: ibus-daemon, Usuário: allysson
PID: 2853, Nome: gsd-housekeeping, Usuário: allysson
PID: 2856, Nome: gsd-keyboard, Usuário: allysson
PID: 2858, Nome: gsd-media-keys, Usuário: allysson
PID: 2859, Nome: gsd-power, Usuário: allysson
PID: 2860, Nome: gsd-print-notifications, Usuário: allysson
PID: 2861, Nome: gsd-rfkill, Usuário: allysson
PID: 2862, Nome: gsd-screensaver-proxy, Usuário: allysson
PID: 2864, Nome: gsd-sharing, Usuário: allysson
PID: 2865, Nome: gsd-smartcard, Usuário: allysson
PID: 2868, Nome: gsd-sound, Usuário: allysson
PID: 2869, Nome: gsd-wacom, Usuário: allysson
PID: 2871, Nome: gsd-xsettings, Usuário: allysson
PID: 2913, Nome: evolution-alarm-notify, Usuário: allysson
PID: 2918, Nome: ibus-dconf, Usuário: allysson
PID: 2919, Nome: ibus-extension-gtk3, Usuário: allysson
PID: 2922, Nome: gsd-disk-utility-notify, Usuário: allysson
PID: 2923, Nome: ibus-x11, Usuário: allysson
PID: 2929, Nome: ibus-portal, Usuário: allysson
PID: 3002, Nome: colord, Usuário: colord
PID: 3011, Nome: gsd-printer, Usuário: allysson
PID: 3052, Nome: gjs, Usuário: allysson
PID: 3060, Nome: ibus-engine-simple, Usuário: allysson
PID: 3070, Nome: tracker-miner-fs-3, Usuário: allysson
PID: 3094, Nome: gvfsd-metadata, Usuário: allysson
PID: 3129, Nome: gjs, Usuário: allysson
PID: 3178, Nome: update-notifier, Usuário: allysson
PID: 3291, Nome: seahorse, Usuário: allysson
PID: 3292, Nome: gnome-calendar, Usuário: allysson
PID: 3293, Nome: gnome-terminal-server, Usuário: allysson
PID: 3391, Nome: bash, Usuário: allysson
PID: 3629, Nome: ruby, Usuário: allysson
PID: 3655, Nome: bash, Usuário: allysson
PID: 3893, Nome: npm start, Usuário: allysson
PID: 3904, Nome: sh, Usuário: allysson
PID: 3905, Nome: node, Usuário: allysson
PID: 3912, Nome: node, Usuário: allysson
PID: 3919, Nome: bash, Usuário: allysson
PID: 4155, Nome: node, Usuário: allysson
PID: 4156, Nome: node, Usuário: allysson
PID: 4227, Nome: kworker/R-tls-s, Usuário: root
PID: 13707, Nome: kworker/3:0, Usuário: root
PID: 13867, Nome: kworker/1:0-cgroup_destroy, Usuário: root
PID: 14211, Nome: kworker/2:0-i915-unordered, Usuário: root
PID: 14246, Nome: kworker/0:0-cgroup_destroy, Usuário: root
PID: 15621, Nome: sudo, Usuário: allysson
PID: 15622, Nome: sudo, Usuário: allysson
PID: 15623, Nome: python3, Usuário: root

=== Dados do CodeCarbon ===
Emissões de carbono: 3.779196865316915e-05 kg
Tempo de execução: 95.13146352767944 segundos

=== Log do CodeCarbon ===
2025-03-09 22:10:08,675 - codecarbon  : INFO     Energy consumed for RAM : 0.000002 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:08,675 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:08,676 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000007 kWh. Total CPU Power : 12.71823525531669 W
2025-03-09 22:10:08,676 - codecarbon  : INFO     0.000009 kWh of electricity used since the beginning.
2025-03-09 22:10:10,676 - codecarbon  : INFO     Energy consumed for RAM : 0.000003 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:10,676 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:10,677 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000014 kWh. Total CPU Power : 11.704765166347636 W
2025-03-09 22:10:10,677 - codecarbon  : INFO     0.000017 kWh of electricity used since the beginning.
2025-03-09 22:10:12,676 - codecarbon  : INFO     Energy consumed for RAM : 0.000005 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:12,677 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:12,677 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000020 kWh. Total CPU Power : 11.277177772964613 W
2025-03-09 22:10:12,677 - codecarbon  : INFO     0.000025 kWh of electricity used since the beginning.
2025-03-09 22:10:14,677 - codecarbon  : INFO     Energy consumed for RAM : 0.000006 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:14,678 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:14,678 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000026 kWh. Total CPU Power : 11.98320609908964 W
2025-03-09 22:10:14,678 - codecarbon  : INFO     0.000033 kWh of electricity used since the beginning.
2025-03-09 22:10:16,678 - codecarbon  : INFO     Energy consumed for RAM : 0.000008 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:16,678 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:16,679 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000033 kWh. Total CPU Power : 11.835289840004481 W
2025-03-09 22:10:16,679 - codecarbon  : INFO     0.000041 kWh of electricity used since the beginning.
2025-03-09 22:10:18,679 - codecarbon  : INFO     Energy consumed for RAM : 0.000010 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:18,679 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:18,680 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000039 kWh. Total CPU Power : 11.48308066261155 W
2025-03-09 22:10:18,680 - codecarbon  : INFO     0.000049 kWh of electricity used since the beginning.
2025-03-09 22:10:20,680 - codecarbon  : INFO     Energy consumed for RAM : 0.000011 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:20,680 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:20,680 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000046 kWh. Total CPU Power : 11.443542271842983 W
2025-03-09 22:10:20,680 - codecarbon  : INFO     0.000057 kWh of electricity used since the beginning.
2025-03-09 22:10:22,681 - codecarbon  : INFO     Energy consumed for RAM : 0.000013 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:22,681 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:22,681 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000052 kWh. Total CPU Power : 11.832233262789673 W
2025-03-09 22:10:22,681 - codecarbon  : INFO     0.000065 kWh of electricity used since the beginning.
2025-03-09 22:10:22,683 - codecarbon  : INFO     0.000400 g.CO2eq/s mean an estimation of 12.617705509274314 kg.CO2eq/year
2025-03-09 22:10:24,681 - codecarbon  : INFO     Energy consumed for RAM : 0.000014 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:24,682 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:24,682 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000059 kWh. Total CPU Power : 11.616929407165186 W
2025-03-09 22:10:24,682 - codecarbon  : INFO     0.000073 kWh of electricity used since the beginning.
2025-03-09 22:10:26,682 - codecarbon  : INFO     Energy consumed for RAM : 0.000016 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:26,682 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:26,683 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000066 kWh. Total CPU Power : 11.985318189808979 W
2025-03-09 22:10:26,683 - codecarbon  : INFO     0.000081 kWh of electricity used since the beginning.
2025-03-09 22:10:28,682 - codecarbon  : INFO     Energy consumed for RAM : 0.000018 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:28,683 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:28,683 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000072 kWh. Total CPU Power : 11.81437864890644 W
2025-03-09 22:10:28,683 - codecarbon  : INFO     0.000090 kWh of electricity used since the beginning.
2025-03-09 22:10:30,683 - codecarbon  : INFO     Energy consumed for RAM : 0.000019 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:30,683 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:30,684 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000079 kWh. Total CPU Power : 11.959795826965859 W
2025-03-09 22:10:30,684 - codecarbon  : INFO     0.000098 kWh of electricity used since the beginning.
2025-03-09 22:10:32,684 - codecarbon  : INFO     Energy consumed for RAM : 0.000021 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:32,684 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:32,684 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000085 kWh. Total CPU Power : 11.97161955215785 W
2025-03-09 22:10:32,685 - codecarbon  : INFO     0.000106 kWh of electricity used since the beginning.
2025-03-09 22:10:34,685 - codecarbon  : INFO     Energy consumed for RAM : 0.000022 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:34,685 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:34,686 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000093 kWh. Total CPU Power : 12.853914809755384 W
2025-03-09 22:10:34,687 - codecarbon  : INFO     0.000115 kWh of electricity used since the beginning.
2025-03-09 22:10:36,686 - codecarbon  : INFO     Energy consumed for RAM : 0.000024 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:36,686 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:36,687 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000099 kWh. Total CPU Power : 11.667184868249654 W
2025-03-09 22:10:36,688 - codecarbon  : INFO     0.000123 kWh of electricity used since the beginning.
2025-03-09 22:10:38,686 - codecarbon  : INFO     Energy consumed for RAM : 0.000025 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:38,687 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:38,688 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000106 kWh. Total CPU Power : 11.838373917703729 W
2025-03-09 22:10:38,688 - codecarbon  : INFO     0.000131 kWh of electricity used since the beginning.
2025-03-09 22:10:38,692 - codecarbon  : INFO     0.000405 g.CO2eq/s mean an estimation of 12.76964057348378 kg.CO2eq/year
2025-03-09 22:10:40,687 - codecarbon  : INFO     Energy consumed for RAM : 0.000027 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:40,688 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:40,689 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000112 kWh. Total CPU Power : 11.884893288668612 W
