diretório,emissões_kg,tempo_segundos,energia_kWh,co2eq_por_segundo,co2eq_por_ano
loginCreateAndUpdateArticle,0.00012775430092266306,207.2348005771637,0.001299,0.000575,18.133706390555997
login,1.7274734646740297e-06,97.72675466537476,0.000727,1.8e-05,0.5659921626930541
